MONTH,MUMBAI,DELHI,CHENNAI,RUPEES
JUNE,82.5,75.2,78.5
JULY,83.06,75.55,78.4
AUG,83.61,76.16,79.11
SEPT,80,78.18,87.22
OCT,90.75,83.4,86.7
NOV,85.24,79.75,82.86
DEC,84.06,78.56,81.61
